# schema=mevix.mev-1253.lock-pairs.v1
# candidate_commit=786f9ada1889afc92aa3f7d6fefcd0022eec4fa4
# candidate_tree=9c0276f17b64e0a3b021df16ca5985acf7695105
# lock_sha256=058e79648f2a43f0d328d453a987fdde5044d943af11ad4898801b379760a943
name	version	scope	direct
@alloc/quick-lru	5.3.0	dev	-
@babel/runtime	7.29.7	prod	-
@bundled-es-modules/deepmerge	4.3.2	dev	-
@bundled-es-modules/glob	13.0.6	dev	-
@bundled-es-modules/memfs	4.17.0	dev	-
@floating-ui/core	1.8.0	prod	-
@floating-ui/dom	1.8.0	prod	-
@floating-ui/react-dom	2.1.9	prod	-
@floating-ui/utils	0.2.12	prod	-
@jsonjoy.com/base64	1.1.2	dev	-
@jsonjoy.com/base64	17.67.0	dev	-
@jsonjoy.com/buffers	1.2.1	dev	-
@jsonjoy.com/buffers	17.67.0	dev	-
@jsonjoy.com/codegen	1.0.0	dev	-
@jsonjoy.com/codegen	17.67.0	dev	-
@jsonjoy.com/fs-core	4.78.1	dev	-
@jsonjoy.com/fs-fsa	4.78.1	dev	-
@jsonjoy.com/fs-node	4.78.1	dev	-
@jsonjoy.com/fs-node-builtins	4.78.1	dev	-
@jsonjoy.com/fs-node-to-fsa	4.78.1	dev	-
@jsonjoy.com/fs-node-utils	4.78.1	dev	-
@jsonjoy.com/fs-print	4.78.1	dev	-
@jsonjoy.com/fs-snapshot	4.78.1	dev	-
@jsonjoy.com/json-pack	1.21.0	dev	-
@jsonjoy.com/json-pack	17.67.0	dev	-
@jsonjoy.com/json-pointer	1.0.2	dev	-
@jsonjoy.com/json-pointer	17.67.0	dev	-
@jsonjoy.com/util	1.9.0	dev	-
@jsonjoy.com/util	17.67.0	dev	-
@openai/apps-sdk-ui	0.2.2	prod	prod
@oxc-project/types	0.150.0	dev	-
@radix-ui/number	1.1.3	prod	-
@radix-ui/primitive	1.1.7	prod	-
@radix-ui/react-accessible-icon	1.1.15	prod	-
@radix-ui/react-accordion	1.2.20	prod	-
@radix-ui/react-alert-dialog	1.1.23	prod	-
@radix-ui/react-arrow	1.1.15	prod	-
@radix-ui/react-aspect-ratio	1.1.15	prod	-
@radix-ui/react-avatar	1.2.6	prod	-
@radix-ui/react-checkbox	1.3.11	prod	-
@radix-ui/react-collapsible	1.1.20	prod	-
@radix-ui/react-collection	1.1.15	prod	-
@radix-ui/react-compose-refs	1.1.5	prod	-
@radix-ui/react-context	1.2.2	prod	-
@radix-ui/react-context-menu	2.3.7	prod	-
@radix-ui/react-dialog	1.1.23	prod	-
@radix-ui/react-direction	1.1.4	prod	-
@radix-ui/react-dismissable-layer	1.1.19	prod	-
@radix-ui/react-dropdown-menu	2.1.24	prod	-
@radix-ui/react-focus-guards	1.1.6	prod	-
@radix-ui/react-focus-scope	1.1.16	prod	-
@radix-ui/react-form	0.1.16	prod	-
@radix-ui/react-hover-card	1.1.23	prod	-
@radix-ui/react-id	1.1.4	prod	-
@radix-ui/react-label	2.1.15	prod	-
@radix-ui/react-menu	2.1.24	prod	-
@radix-ui/react-menubar	1.1.24	prod	-
@radix-ui/react-navigation-menu	1.2.22	prod	-
@radix-ui/react-one-time-password-field	0.1.16	prod	-
@radix-ui/react-password-toggle-field	0.1.11	prod	-
@radix-ui/react-popover	1.1.23	prod	-
@radix-ui/react-popper	1.3.7	prod	-
@radix-ui/react-portal	1.1.17	prod	-
@radix-ui/react-presence	1.1.10	prod	-
@radix-ui/react-primitive	2.1.10	prod	-
@radix-ui/react-progress	1.1.16	prod	-
@radix-ui/react-radio-group	1.4.7	prod	-
@radix-ui/react-roving-focus	1.1.19	prod	-
@radix-ui/react-scroll-area	1.2.18	prod	-
@radix-ui/react-select	2.3.7	prod	-
@radix-ui/react-separator	1.1.15	prod	-
@radix-ui/react-slider	1.4.7	prod	-
@radix-ui/react-slot	1.3.3	prod	-
@radix-ui/react-switch	1.3.7	prod	-
@radix-ui/react-tabs	1.1.21	prod	-
@radix-ui/react-toast	1.2.23	prod	-
@radix-ui/react-toggle	1.1.18	prod	-
@radix-ui/react-toggle-group	1.1.19	prod	-
@radix-ui/react-toolbar	1.1.19	prod	-
@radix-ui/react-tooltip	1.2.16	prod	-
@radix-ui/react-use-callback-ref	1.1.4	prod	-
@radix-ui/react-use-controllable-state	1.2.6	prod	-
@radix-ui/react-use-effect-event	0.0.5	prod	-
@radix-ui/react-use-escape-keydown	1.1.5	prod	-
@radix-ui/react-use-is-hydrated	0.1.3	prod	-
@radix-ui/react-use-layout-effect	1.1.4	prod	-
@radix-ui/react-use-previous	1.1.4	prod	-
@radix-ui/react-use-rect	1.1.4	prod	-
@radix-ui/react-use-size	1.1.4	prod	-
@radix-ui/react-visually-hidden	1.2.11	prod	-
@radix-ui/rect	1.1.3	prod	-
@rolldown/binding-android-arm-eabi	1.2.9	dev	-
@rolldown/binding-android-arm64	1.2.9	dev	-
@rolldown/binding-darwin-arm64	1.2.9	dev	-
@rolldown/binding-darwin-x64	1.2.9	dev	-
@rolldown/binding-freebsd-x64	1.2.9	dev	-
@rolldown/binding-linux-arm-gnueabihf	1.2.9	dev	-
@rolldown/binding-linux-arm64-gnu	1.2.9	dev	-
@rolldown/binding-linux-arm64-musl	1.2.9	dev	-
@rolldown/binding-linux-ppc64-gnu	1.2.9	dev	-
@rolldown/binding-linux-s390x-gnu	1.2.9	dev	-
@rolldown/binding-linux-x64-gnu	1.2.9	dev	-
@rolldown/binding-linux-x64-musl	1.2.9	dev	-
@rolldown/binding-openharmony-arm64	1.2.9	dev	-
@rolldown/binding-win32-arm64-msvc	1.2.9	dev	-
@rolldown/binding-win32-x64-msvc	1.2.9	dev	-
@rolldown/pluginutils	1.0.1	dev	-
@tailwindcss/node	4.0.10	dev	-
@tailwindcss/oxide	4.0.10	dev	-
@tailwindcss/oxide-android-arm64	4.0.10	dev	-
@tailwindcss/oxide-darwin-arm64	4.0.10	dev	-
@tailwindcss/oxide-darwin-x64	4.0.10	dev	-
@tailwindcss/oxide-freebsd-x64	4.0.10	dev	-
@tailwindcss/oxide-linux-arm-gnueabihf	4.0.10	dev	-
@tailwindcss/oxide-linux-arm64-gnu	4.0.10	dev	-
@tailwindcss/oxide-linux-arm64-musl	4.0.10	dev	-
@tailwindcss/oxide-linux-x64-gnu	4.0.10	dev	-
@tailwindcss/oxide-linux-x64-musl	4.0.10	dev	-
@tailwindcss/oxide-win32-arm64-msvc	4.0.10	dev	-
@tailwindcss/oxide-win32-x64-msvc	4.0.10	dev	-
@tailwindcss/postcss	4.0.10	dev	dev
@types/debug	4.1.13	prod	-
@types/estree	1.0.9	prod	-
@types/estree-jsx	1.0.5	prod	-
@types/hast	3.0.5	prod	-
@types/katex	0.16.8	prod	-
@types/mdast	4.0.4	prod	-
@types/ms	2.1.0	prod	-
@types/prismjs	1.26.6	prod	-
@types/react	19.0.8	prod	dev
@types/react-dom	19.0.3	prod	dev
@types/unist	2.0.11	prod	-
@types/unist	3.0.3	prod	-
@ungap/structured-clone	1.4.0	prod	-
@zip.js/zip.js	2.16.0	dev	-
aria-hidden	1.2.6	prod	-
assert	2.1.0	dev	-
available-typed-arrays	1.0.7	dev	-
bail	2.0.2	prod	-
balanced-match	4.0.4	dev	-
base64-js	1.5.1	dev	-
brace-expansion	5.0.12	dev	-
buffer	6.0.3	dev	-
call-bind	1.0.9	dev	-
call-bind-apply-helpers	1.0.2	dev	-
call-bound	1.0.4	dev	-
ccount	2.0.1	prod	-
chalk	5.6.2	dev	-
change-case	5.4.4	dev	-
character-entities	2.0.2	prod	-
character-entities-html4	2.1.0	prod	-
character-entities-legacy	3.0.0	prod	-
character-reference-invalid	2.0.1	prod	-
clsx	2.1.1	prod	-
colorjs.io	0.5.2	dev	-
comma-separated-tokens	2.0.3	prod	-
commander	12.1.0	dev	-
commander	8.3.0	prod	-
component-emitter	2.0.0	dev	-
compute-scroll-into-view	3.1.1	prod	-
csstype	3.2.3	prod	-
debug	4.4.3	prod	-
decode-named-character-reference	1.3.0	prod	-
deepmerge	4.3.1	dev	-
define-data-property	1.1.4	dev	-
define-properties	1.2.1	dev	-
dequal	2.0.3	prod	-
detect-libc	2.1.2	dev	-
detect-node-es	1.1.0	prod	-
devlop	1.1.0	prod	-
downshift	9.4.0	prod	-
dunder-proto	1.0.1	dev	-
enhanced-resolve	5.25.1	dev	-
entities	6.0.1	prod	-
es-define-property	1.0.1	dev	-
es-errors	1.3.0	dev	-
es-object-atoms	1.1.2	dev	-
escape-string-regexp	5.0.0	prod	-
estree-util-is-identifier-name	3.0.0	prod	-
events	3.3.0	dev	-
